Simulation,Trial
1.0,2.0
2.0,3.0
3.0,2.0
4.0,3.0
5.0,4.0
6.0,2.0
9.0,4.0
10.0,2.0
12.0,3.0
15.0,3.0
17.0,4.0
19.0,3.0
20.0,2.0
22.0,4.0
24.0,3.0
25.0,4.0
26.0,4.0
31.0,4.0
32.0,4.0
33.0,4.0
34.0,4.0
35.0,4.0
38.0,4.0
39.0,4.0
41.0,4.0
42.0,4.0
43.0,4.0
44.0,4.0
46.0,3.0
48.0,4.0
49.0,4.0
52.0,3.0
54.0,4.0
56.0,4.0
57.0,2.0
58.0,4.0
59.0,3.0
60.0,4.0
61.0,2.0
62.0,3.0
64.0,4.0
65.0,3.0
66.0,4.0
67.0,3.0
68.0,3.0
69.0,3.0
71.0,4.0
73.0,2.0
75.0,4.0
78.0,4.0
84.0,4.0
86.0,4.0
87.0,2.0
89.0,3.0
90.0,4.0
92.0,2.0
93.0,3.0
94.0,3.0
95.0,2.0
97.0,3.0
99.0,4.0
