Simulation,Trial
1.0,2.0
2.0,3.0
3.0,2.0
4.0,4.0
5.0,4.0
6.0,3.0
7.0,2.0
8.0,2.0
9.0,4.0
13.0,2.0
14.0,2.0
17.0,3.0
18.0,4.0
19.0,4.0
20.0,4.0
21.0,4.0
23.0,4.0
24.0,2.0
25.0,4.0
27.0,3.0
28.0,2.0
29.0,3.0
30.0,4.0
33.0,2.0
34.0,2.0
35.0,2.0
37.0,2.0
38.0,4.0
39.0,2.0
41.0,3.0
43.0,2.0
47.0,2.0
48.0,2.0
49.0,2.0
50.0,4.0
51.0,2.0
55.0,2.0
57.0,4.0
58.0,2.0
59.0,4.0
60.0,2.0
61.0,4.0
65.0,4.0
68.0,4.0
69.0,2.0
71.0,4.0
73.0,4.0
76.0,2.0
77.0,4.0
78.0,4.0
79.0,4.0
80.0,4.0
81.0,4.0
84.0,2.0
85.0,4.0
88.0,2.0
89.0,2.0
91.0,2.0
92.0,2.0
93.0,4.0
96.0,2.0
97.0,2.0
98.0,2.0
100.0,2.0
