Simulation,Trial
1.0,7.0
3.0,5.0
4.0,6.0
5.0,3.0
6.0,3.0
7.0,5.0
8.0,5.0
9.0,4.0
11.0,3.0
13.0,3.0
14.0,3.0
17.0,4.0
18.0,5.0
22.0,7.0
24.0,4.0
25.0,4.0
26.0,3.0
28.0,6.0
29.0,5.0
30.0,6.0
32.0,6.0
35.0,3.0
37.0,4.0
38.0,5.0
39.0,5.0
40.0,3.0
44.0,6.0
45.0,3.0
46.0,8.0
48.0,6.0
49.0,5.0
50.0,5.0
52.0,3.0
53.0,5.0
54.0,8.0
57.0,3.0
58.0,3.0
59.0,5.0
60.0,3.0
61.0,3.0
62.0,3.0
64.0,6.0
66.0,5.0
68.0,5.0
69.0,3.0
70.0,5.0
71.0,5.0
72.0,3.0
75.0,3.0
78.0,3.0
79.0,3.0
80.0,4.0
81.0,3.0
82.0,7.0
84.0,3.0
85.0,3.0
87.0,4.0
88.0,5.0
90.0,6.0
91.0,7.0
92.0,3.0
93.0,3.0
95.0,4.0
96.0,6.0
98.0,3.0
100.0,3.0
