Simulation,Run,Trial,Gain_outcome,Loss_outcome,Gain_utility,Loss_utility,Probability,Conflict_or_not,Bet_or_quit,Win_or_lose,Chip,Incentive
0.0,0.0,0.0,300.0,-41.0,0.023444536595661866,0.0023444536595661866,1.0,Conflict,bet,lose,259.0,
0.0,0.0,1.0,430.0,-178.0,0.034486240473664845,0.010345872142099453,1.0,Conflict,bet,win,559.5,
0.0,0.0,2.0,710.0,-506.0,0.0590359583489183,0.02951797917445915,1.0,Conflict,bet,win,989.75,
0.0,0.0,3.0,1205.0,-1245.0,0.10408443333501591,0.07285910333451114,1.0,Conflict,bet,lose,-750.125,-1245
1.0,0.0,0.0,300.0,-41.0,0.023444536595661866,0.0023444536595661866,1.0,Conflict,bet,win,600.0,
1.0,0.0,1.0,600.0,-254.0,0.04928852347095016,0.014786557041285047,1.0,Conflict,bet,lose,46.0,
1.0,0.0,2.0,623.0,-440.0,0.051316715743849904,0.025658357871924952,1.0,Conflict,bet,win,646.0,
1.0,0.0,3.0,946.0,-961.0,0.08030137209719779,0.056210960468038446,1.0,Conflict,bet,lose,-638.0,-961
2.0,0.0,0.0,300.0,-41.0,0.023444536595661866,0.0023444536595661866,1.0,Conflict,bet,lose,259.0,
2.0,0.0,1.0,430.0,-178.0,0.034486240473664845,0.010345872142099453,1.0,Conflict,bet,win,559.5,
2.0,0.0,2.0,710.0,-506.0,0.0590359583489183,0.02951797917445915,1.0,Conflict,bet,lose,-226.25,-506
3.0,0.0,0.0,300.0,-41.0,0.023444536595661866,0.0023444536595661866,1.0,Conflict,bet,lose,259.0,
3.0,0.0,1.0,430.0,-178.0,0.034486240473664845,0.010345872142099453,1.0,Conflict,bet,win,559.5,
3.0,0.0,2.0,710.0,-506.0,0.0590359583489183,0.02951797917445915,1.0,Conflict,bet,lose,-226.25,-506
4.0,0.0,0.0,300.0,-41.0,0.023444536595661866,0.0023444536595661866,1.0,Conflict,bet,lose,259.0,
4.0,0.0,1.0,430.0,-178.0,0.034486240473664845,0.010345872142099453,1.0,Conflict,bet,lose,-48.5,-178
5.0,0.0,0.0,300.0,-41.0,0.023444536595661866,0.0023444536595661866,1.0,Conflict,bet,lose,259.0,
5.0,0.0,1.0,430.0,-178.0,0.034486240473664845,0.010345872142099453,1.0,Conflict,bet,win,559.5,
5.0,0.0,2.0,710.0,-506.0,0.0590359583489183,0.02951797917445915,1.0,Conflict,bet,win,989.75,
5.0,0.0,3.0,1205.0,-1245.0,0.10408443333501591,0.07285910333451114,1.0,Conflict,bet,win,1699.875,
5.0,0.0,4.0,2055.0,-2827.0,0.1844598900956417,0.16601390108607753,1.0,Conflict,bet,lose,-1977.0625,-2827
6.0,0.0,0.0,300.0,-41.0,0.023444536595661866,0.0023444536595661866,1.0,Conflict,bet,lose,259.0,
6.0,0.0,1.0,430.0,-178.0,0.034486240473664845,0.010345872142099453,1.0,Conflict,bet,win,559.5,
6.0,0.0,2.0,710.0,-506.0,0.0590359583489183,0.02951797917445915,1.0,Conflict,bet,win,989.75,
6.0,0.0,3.0,1205.0,-1245.0,0.10408443333501591,0.07285910333451114,1.0,Conflict,bet,win,1699.875,
6.0,0.0,4.0,2055.0,-2827.0,0.1844598900956417,0.16601390108607753,1.0,Conflict,bet,lose,-1977.0625,-2827
7.0,0.0,0.0,300.0,-41.0,0.023444536595661866,0.0023444536595661866,1.0,Conflict,bet,win,600.0,
7.0,0.0,1.0,600.0,-254.0,0.04928852347095016,0.014786557041285047,1.0,Conflict,bet,lose,46.0,
7.0,0.0,2.0,623.0,-440.0,0.051316715743849904,0.025658357871924952,1.0,Conflict,bet,win,646.0,
