Simulation,Trial
3.0,5.0
4.0,6.0
6.0,4.0
10.0,3.0
11.0,8.0
12.0,4.0
14.0,4.0
16.0,5.0
18.0,3.0
19.0,3.0
20.0,3.0
22.0,3.0
23.0,3.0
24.0,8.0
26.0,3.0
27.0,6.0
29.0,3.0
30.0,4.0
31.0,4.0
32.0,3.0
35.0,4.0
38.0,4.0
39.0,4.0
41.0,6.0
42.0,8.0
44.0,4.0
45.0,3.0
49.0,3.0
50.0,4.0
51.0,3.0
52.0,4.0
54.0,5.0
55.0,3.0
56.0,5.0
57.0,3.0
58.0,5.0
59.0,3.0
60.0,3.0
61.0,6.0
62.0,7.0
63.0,5.0
64.0,5.0
65.0,4.0
66.0,7.0
67.0,4.0
68.0,3.0
71.0,3.0
73.0,3.0
74.0,3.0
75.0,8.0
76.0,3.0
78.0,5.0
79.0,5.0
80.0,8.0
81.0,3.0
82.0,3.0
83.0,3.0
87.0,8.0
88.0,3.0
90.0,5.0
92.0,4.0
93.0,3.0
95.0,3.0
96.0,4.0
97.0,6.0
100.0,3.0
