Simulation,Trial
1.0,3.0
2.0,5.0
3.0,5.0
4.0,4.0
5.0,3.0
6.0,5.0
9.0,4.0
10.0,5.0
11.0,3.0
12.0,4.0
13.0,4.0
14.0,5.0
15.0,3.0
17.0,3.0
18.0,4.0
20.0,5.0
23.0,6.0
24.0,3.0
26.0,4.0
27.0,6.0
28.0,3.0
29.0,5.0
30.0,3.0
31.0,7.0
32.0,6.0
33.0,7.0
34.0,3.0
36.0,3.0
37.0,5.0
39.0,4.0
40.0,3.0
43.0,3.0
44.0,3.0
45.0,3.0
46.0,3.0
47.0,4.0
49.0,4.0
50.0,7.0
51.0,4.0
53.0,5.0
54.0,4.0
56.0,4.0
59.0,6.0
61.0,3.0
63.0,6.0
64.0,3.0
65.0,4.0
68.0,4.0
69.0,4.0
70.0,4.0
71.0,6.0
73.0,5.0
75.0,3.0
76.0,3.0
78.0,6.0
80.0,4.0
82.0,7.0
83.0,4.0
84.0,6.0
85.0,3.0
86.0,3.0
87.0,5.0
90.0,5.0
91.0,4.0
92.0,4.0
93.0,5.0
94.0,5.0
95.0,5.0
96.0,7.0
97.0,5.0
98.0,3.0
99.0,3.0
100.0,3.0
