Simulation,Run,Trial,Gain_outcome,Loss_outcome,Gain_utility,Loss_utility,Probability,Conflict_or_not,Bet_or_quit,Win_or_lose,Chip,Incentive
0.0,0.0,0.0,300.0,-4834.0,1016293.2537370414,101629.32537370414,1.0,Conflict,bet,win,900.0,
0.0,0.0,1.0,750.0,-55655.0,9376128.780593015,2812838.6341779046,1.0,Conflict,bet,win,1200.0,
0.0,0.0,2.0,1350.0,-231345.0,38999531.383878805,19499765.691939402,1.0,Conflict,bet,lose,-230745.0,-231345
1.0,0.0,0.0,300.0,-4834.0,1016293.2537370414,101629.32537370414,1.0,Conflict,bet,win,900.0,
1.0,0.0,1.0,750.0,-55655.0,9376128.780593015,2812838.6341779046,1.0,Conflict,bet,lose,-55205.0,-55655
2.0,0.0,0.0,300.0,-4834.0,1016293.2537370414,101629.32537370414,1.0,Conflict,bet,lose,-4234.0,-4834.0
3.0,0.0,0.0,300.0,-4834.0,1016293.2537370414,101629.32537370414,1.0,Conflict,bet,win,900.0,
3.0,0.0,1.0,750.0,-55655.0,9376128.780593015,2812838.6341779046,1.0,Conflict,bet,win,1200.0,
3.0,0.0,2.0,1350.0,-231345.0,38999531.383878805,19499765.691939402,1.0,Conflict,bet,win,1950.0,
3.0,0.0,3.0,2325.0,-781743.0,145738961.75130004,102017273.22591002,1.0,Conflict,bet,lose,-780768.0,-781743
4.0,0.0,0.0,300.0,-4834.0,1016293.2537370414,101629.32537370414,1.0,Conflict,bet,lose,-4234.0,-4834.0
5.0,0.0,0.0,300.0,-4834.0,1016293.2537370414,101629.32537370414,1.0,Conflict,bet,win,900.0,
5.0,0.0,1.0,750.0,-55655.0,9376128.780593015,2812838.6341779046,1.0,Conflict,bet,win,1200.0,
5.0,0.0,2.0,1350.0,-231345.0,38999531.383878805,19499765.691939402,1.0,Conflict,bet,win,1950.0,
5.0,0.0,3.0,2325.0,-781743.0,145738961.75130004,102017273.22591002,1.0,Conflict,bet,lose,-780768.0,-781743
6.0,0.0,0.0,300.0,-4834.0,1016293.2537370414,101629.32537370414,1.0,Conflict,bet,win,900.0,
6.0,0.0,1.0,750.0,-55655.0,9376128.780593015,2812838.6341779046,1.0,Conflict,bet,win,1200.0,
6.0,0.0,2.0,1350.0,-231345.0,38999531.383878805,19499765.691939402,1.0,Conflict,bet,lose,-230745.0,-231345
7.0,0.0,0.0,300.0,-4834.0,1016293.2537370414,101629.32537370414,1.0,Conflict,bet,win,900.0,
7.0,0.0,1.0,750.0,-55655.0,9376128.780593015,2812838.6341779046,1.0,Conflict,bet,win,1200.0,
7.0,0.0,2.0,1350.0,-231345.0,38999531.383878805,19499765.691939402,1.0,Conflict,bet,lose,-230745.0,-231345
8.0,0.0,0.0,300.0,-4834.0,1016293.2537370414,101629.32537370414,1.0,Conflict,bet,win,900.0,
8.0,0.0,1.0,750.0,-55655.0,9376128.780593015,2812838.6341779046,1.0,Conflict,bet,win,1200.0,
8.0,0.0,2.0,1350.0,-231345.0,38999531.383878805,19499765.691939402,1.0,Conflict,bet,win,1950.0,
8.0,0.0,3.0,2325.0,-781743.0,145738961.75130004,102017273.22591002,1.0,Conflict,bet,win,3300.0,
