Simulation,Trial
2.0,2.0
4.0,4.0
5.0,3.0
7.0,4.0
8.0,3.0
10.0,2.0
11.0,2.0
12.0,2.0
13.0,4.0
14.0,2.0
17.0,3.0
18.0,4.0
19.0,3.0
20.0,3.0
23.0,2.0
24.0,3.0
27.0,4.0
28.0,4.0
29.0,4.0
30.0,2.0
31.0,4.0
33.0,4.0
34.0,4.0
37.0,2.0
38.0,4.0
39.0,2.0
41.0,3.0
42.0,3.0
43.0,4.0
44.0,2.0
45.0,3.0
47.0,4.0
51.0,4.0
52.0,2.0
54.0,3.0
55.0,2.0
56.0,4.0
57.0,3.0
61.0,3.0
62.0,4.0
63.0,3.0
64.0,3.0
65.0,4.0
66.0,4.0
67.0,4.0
68.0,4.0
69.0,2.0
70.0,2.0
71.0,2.0
72.0,4.0
73.0,4.0
74.0,4.0
75.0,4.0
76.0,4.0
77.0,3.0
79.0,4.0
80.0,4.0
82.0,3.0
84.0,4.0
85.0,4.0
87.0,3.0
89.0,3.0
91.0,4.0
93.0,4.0
94.0,4.0
95.0,2.0
96.0,3.0
97.0,4.0
98.0,3.0
99.0,2.0
100.0,3.0
