Simulation,Trial
1.0,3.0
2.0,5.0
3.0,5.0
4.0,8.0
7.0,3.0
9.0,5.0
10.0,8.0
11.0,5.0
12.0,5.0
14.0,6.0
15.0,8.0
17.0,3.0
18.0,6.0
19.0,4.0
20.0,4.0
21.0,3.0
22.0,5.0
23.0,3.0
24.0,5.0
25.0,5.0
26.0,6.0
27.0,3.0
28.0,3.0
34.0,3.0
35.0,4.0
36.0,8.0
38.0,3.0
39.0,3.0
40.0,4.0
42.0,5.0
43.0,3.0
44.0,3.0
46.0,3.0
50.0,5.0
52.0,4.0
54.0,5.0
55.0,3.0
56.0,6.0
57.0,6.0
59.0,6.0
60.0,3.0
61.0,7.0
62.0,5.0
63.0,5.0
64.0,8.0
65.0,5.0
67.0,4.0
68.0,4.0
69.0,7.0
70.0,3.0
73.0,3.0
75.0,7.0
76.0,4.0
77.0,4.0
79.0,3.0
83.0,5.0
84.0,6.0
87.0,3.0
88.0,3.0
89.0,8.0
90.0,3.0
91.0,5.0
92.0,6.0
93.0,4.0
94.0,4.0
95.0,3.0
96.0,4.0
98.0,3.0
99.0,3.0
100.0,4.0
