Simulation,Trial
5.0,3.0
6.0,3.0
7.0,3.0
8.0,4.0
10.0,4.0
11.0,3.0
14.0,3.0
15.0,4.0
16.0,4.0
17.0,4.0
18.0,4.0
19.0,4.0
23.0,4.0
24.0,3.0
25.0,4.0
28.0,3.0
33.0,4.0
34.0,4.0
35.0,3.0
37.0,3.0
39.0,4.0
42.0,4.0
44.0,4.0
45.0,3.0
46.0,3.0
48.0,4.0
50.0,4.0
51.0,3.0
56.0,4.0
57.0,3.0
58.0,4.0
59.0,4.0
60.0,4.0
62.0,3.0
63.0,3.0
64.0,4.0
66.0,4.0
68.0,3.0
69.0,3.0
70.0,4.0
71.0,3.0
72.0,3.0
75.0,3.0
76.0,4.0
77.0,3.0
80.0,4.0
81.0,4.0
82.0,3.0
83.0,3.0
84.0,4.0
85.0,4.0
86.0,4.0
87.0,3.0
88.0,4.0
89.0,3.0
90.0,3.0
91.0,3.0
94.0,4.0
96.0,4.0
97.0,4.0
98.0,3.0
99.0,3.0
100.0,3.0
