Simulation,Run,Trial,Gain_outcome,Loss_outcome,Gain_utility,Loss_utility,Probability,Conflict_or_not,Bet_or_quit,Win_or_lose,Chip,Incentive
0.0,0.0,0.0,500.0,-49.0,762.9568290259941,76.29568290259941,1.0,Conflict,bet,win,1000.0,
0.0,0.0,1.0,1000.0,-254.0,1599.5580286146694,479.8674085844008,1.0,Conflict,bet,lose,246.0,
0.0,0.0,2.0,1123.0,-449.0,1810.5293927192952,905.2646963596476,1.0,Conflict,bet,win,1246.0,
0.0,0.0,3.0,1746.0,-926.0,2900.702890018468,2030.4920230129276,1.0,Conflict,bet,win,2369.0,
0.0,0.0,4.0,2930.0,-1904.0,5042.136730809945,4537.923057728951,1.0,Conflict,bet,lose,-719.5,-1904
1.0,0.0,0.0,500.0,-49.0,762.9568290259941,76.29568290259941,1.0,Conflict,bet,lose,451.0,
1.0,0.0,1.0,726.0,-187.0,1136.2667829241261,340.88003487723785,1.0,Conflict,bet,lose,38.5,
1.0,0.0,2.0,745.0,-303.0,1168.0539416360712,584.0269708180356,1.0,Conflict,bet,lose,-283.75,-303
2.0,0.0,0.0,500.0,-49.0,762.9568290259941,76.29568290259941,1.0,Conflict,bet,win,1000.0,
2.0,0.0,1.0,1000.0,-254.0,1599.5580286146694,479.8674085844008,1.0,Conflict,bet,lose,246.0,
2.0,0.0,2.0,1123.0,-449.0,1810.5293927192952,905.2646963596476,1.0,Conflict,bet,lose,-326.0,-449
3.0,0.0,0.0,500.0,-49.0,762.9568290259941,76.29568290259941,1.0,Conflict,bet,lose,451.0,
3.0,0.0,1.0,726.0,-187.0,1136.2667829241261,340.88003487723785,1.0,Conflict,bet,win,951.5,
3.0,0.0,2.0,1202.0,-479.0,1946.874565741414,973.437282870707,1.0,Conflict,bet,win,1677.75,
3.0,0.0,3.0,2041.0,-1075.0,3426.9859904742457,2398.8901933319717,1.0,Conflict,bet,win,2879.875,
3.0,0.0,4.0,3481.0,-2246.0,6060.9387734893535,5454.844896140418,1.0,Conflict,bet,lose,-806.0625,-2246
4.0,0.0,0.0,500.0,-49.0,762.9568290259941,76.29568290259941,1.0,Conflict,bet,win,1000.0,
4.0,0.0,1.0,1000.0,-254.0,1599.5580286146694,479.8674085844008,1.0,Conflict,bet,lose,246.0,
4.0,0.0,2.0,1123.0,-449.0,1810.5293927192952,905.2646963596476,1.0,Conflict,bet,lose,-326.0,-449
5.0,0.0,0.0,500.0,-49.0,762.9568290259941,76.29568290259941,1.0,Conflict,bet,lose,451.0,
5.0,0.0,1.0,726.0,-187.0,1136.2667829241261,340.88003487723785,1.0,Conflict,bet,win,951.5,
5.0,0.0,2.0,1202.0,-479.0,1946.874565741414,973.437282870707,1.0,Conflict,bet,win,1677.75,
5.0,0.0,3.0,2041.0,-1075.0,3426.9859904742457,2398.8901933319717,1.0,Conflict,bet,win,2879.875,
5.0,0.0,4.0,3481.0,-2246.0,6060.9387734893535,5454.844896140418,1.0,Conflict,bet,lose,-806.0625,-2246
6.0,0.0,0.0,500.0,-49.0,762.9568290259941,76.29568290259941,1.0,Conflict,bet,win,1000.0,
6.0,0.0,1.0,1000.0,-254.0,1599.5580286146694,479.8674085844008,1.0,Conflict,bet,win,1500.0,
6.0,0.0,2.0,1750.0,-686.0,2907.800694878878,1453.900347439439,1.0,Conflict,bet,lose,64.0,
6.0,0.0,3.0,1782.0,-944.0,2964.622656440518,2075.2358595083624,1.0,Conflict,bet,lose,-912.0,-944
7.0,0.0,0.0,500.0,-49.0,762.9568290259941,76.29568290259941,1.0,Conflict,bet,lose,451.0,
7.0,0.0,1.0,726.0,-187.0,1136.2667829241261,340.88003487723785,1.0,Conflict,bet,lose,38.5,
7.0,0.0,2.0,745.0,-303.0,1168.0539416360712,584.0269708180356,1.0,Conflict,bet,win,764.25,
7.0,0.0,3.0,1127.0,-609.0,1817.4176538245233,1272.1923576771662,1.0,Conflict,bet,win,1509.125,
7.0,0.0,4.0,1882.0,-1246.0,3142.633626500131,2828.370263850118,1.0,Conflict,bet,win,2636.5625,
7.0,0.0,5.0,3200.0,-2277.0,5539.877695235757,5539.877695235757,1.0,Conflict,bet,lose,-958.71875,-2277
8.0,0.0,0.0,500.0,-49.0,762.9568290259941,76.29568290259941,1.0,Conflict,bet,lose,451.0,
8.0,0.0,1.0,726.0,-187.0,1136.2667829241261,340.88003487723785,1.0,Conflict,bet,lose,38.5,
8.0,0.0,2.0,745.0,-303.0,1168.0539416360712,584.0269708180356,1.0,Conflict,bet,lose,-283.75,-303
9.0,0.0,0.0,500.0,-49.0,762.9568290259941,76.29568290259941,1.0,Conflict,bet,lose,451.0,
9.0,0.0,1.0,726.0,-187.0,1136.2667829241261,340.88003487723785,1.0,Conflict,bet,win,951.5,
9.0,0.0,2.0,1202.0,-479.0,1946.874565741414,973.437282870707,1.0,Conflict,bet,lose,-3.25,-479
10.0,0.0,0.0,500.0,-49.0,762.9568290259941,76.29568290259941,1.0,Conflict,bet,win,1000.0,
10.0,0.0,1.0,1000.0,-254.0,1599.5580286146694,479.8674085844008,1.0,Conflict,bet,lose,246.0,
10.0,0.0,2.0,1123.0,-449.0,1810.5293927192952,905.2646963596476,1.0,Conflict,bet,lose,-326.0,-449
11.0,0.0,0.0,500.0,-49.0,762.9568290259941,76.29568290259941,1.0,Conflict,bet,win,1000.0,
11.0,0.0,1.0,1000.0,-254.0,1599.5580286146694,479.8674085844008,1.0,Conflict,bet,lose,246.0,
11.0,0.0,2.0,1123.0,-449.0,1810.5293927192952,905.2646963596476,1.0,Conflict,bet,win,1246.0,
11.0,0.0,3.0,1746.0,-926.0,2900.702890018468,2030.4920230129276,1.0,Conflict,bet,lose,-303.0,-926
12.0,0.0,0.0,500.0,-49.0,762.9568290259941,76.29568290259941,1.0,Conflict,bet,win,1000.0,
12.0,0.0,1.0,1000.0,-254.0,1599.5580286146694,479.8674085844008,1.0,Conflict,bet,lose,246.0,
12.0,0.0,2.0,1123.0,-449.0,1810.5293927192952,905.2646963596476,1.0,Conflict,bet,win,1246.0,
12.0,0.0,3.0,1746.0,-926.0,2900.702890018468,2030.4920230129276,1.0,Conflict,bet,win,2369.0,
12.0,0.0,4.0,2930.0,-1904.0,5042.136730809945,4537.923057728951,1.0,Conflict,bet,lose,-719.5,-1904
13.0,0.0,0.0,500.0,-49.0,762.9568290259941,76.29568290259941,1.0,Conflict,bet,win,1000.0,
13.0,0.0,1.0,1000.0,-254.0,1599.5580286146694,479.8674085844008,1.0,Conflict,bet,lose,246.0,
13.0,0.0,2.0,1123.0,-449.0,1810.5293927192952,905.2646963596476,1.0,Conflict,bet,win,1246.0,
13.0,0.0,3.0,1746.0,-926.0,2900.702890018468,2030.4920230129276,1.0,Conflict,bet,lose,-303.0,-926
14.0,0.0,0.0,500.0,-49.0,762.9568290259941,76.29568290259941,1.0,Conflict,bet,lose,451.0,
14.0,0.0,1.0,726.0,-187.0,1136.2667829241261,340.88003487723785,1.0,Conflict,bet,lose,38.5,
14.0,0.0,2.0,745.0,-303.0,1168.0539416360712,584.0269708180356,1.0,Conflict,bet,lose,-283.75,-303
15.0,0.0,0.0,500.0,-49.0,762.9568290259941,76.29568290259941,1.0,Conflict,bet,lose,451.0,
15.0,0.0,1.0,726.0,-187.0,1136.2667829241261,340.88003487723785,1.0,Conflict,bet,win,951.5,
15.0,0.0,2.0,1202.0,-479.0,1946.874565741414,973.437282870707,1.0,Conflict,bet,lose,-3.25,-479
16.0,0.0,0.0,500.0,-49.0,762.9568290259941,76.29568290259941,1.0,Conflict,bet,win,1000.0,
16.0,0.0,1.0,1000.0,-254.0,1599.5580286146694,479.8674085844008,1.0,Conflict,bet,lose,246.0,
16.0,0.0,2.0,1123.0,-449.0,1810.5293927192952,905.2646963596476,1.0,Conflict,bet,lose,-326.0,-449
17.0,0.0,0.0,500.0,-49.0,762.9568290259941,76.29568290259941,1.0,Conflict,bet,lose,451.0,
17.0,0.0,1.0,726.0,-187.0,1136.2667829241261,340.88003487723785,1.0,Conflict,bet,lose,38.5,
17.0,0.0,2.0,745.0,-303.0,1168.0539416360712,584.0269708180356,1.0,Conflict,bet,lose,-283.75,-303
18.0,0.0,0.0,500.0,-49.0,762.9568290259941,76.29568290259941,1.0,Conflict,bet,lose,451.0,
18.0,0.0,1.0,726.0,-187.0,1136.2667829241261,340.88003487723785,1.0,Conflict,bet,lose,38.5,
18.0,0.0,2.0,745.0,-303.0,1168.0539416360712,584.0269708180356,1.0,Conflict,bet,lose,-283.75,-303
19.0,0.0,0.0,500.0,-49.0,762.9568290259941,76.29568290259941,1.0,Conflict,bet,win,1000.0,
19.0,0.0,1.0,1000.0,-254.0,1599.5580286146694,479.8674085844008,1.0,Conflict,bet,lose,246.0,
19.0,0.0,2.0,1123.0,-449.0,1810.5293927192952,905.2646963596476,1.0,Conflict,bet,lose,-326.0,-449
20.0,0.0,0.0,500.0,-49.0,762.9568290259941,76.29568290259941,1.0,Conflict,bet,win,1000.0,
20.0,0.0,1.0,1000.0,-254.0,1599.5580286146694,479.8674085844008,1.0,Conflict,bet,lose,246.0,
20.0,0.0,2.0,1123.0,-449.0,1810.5293927192952,905.2646963596476,1.0,Conflict,bet,lose,-326.0,-449
21.0,0.0,0.0,500.0,-49.0,762.9568290259941,76.29568290259941,1.0,Conflict,bet,win,1000.0,
21.0,0.0,1.0,1000.0,-254.0,1599.5580286146694,479.8674085844008,1.0,Conflict,bet,win,1500.0,
21.0,0.0,2.0,1750.0,-686.0,2907.800694878878,1453.900347439439,1.0,Conflict,bet,lose,64.0,
21.0,0.0,3.0,1782.0,-944.0,2964.622656440518,2075.2358595083624,1.0,Conflict,bet,win,1814.0,
21.0,0.0,4.0,2689.0,-1754.0,4600.47819677657,4140.430377098914,1.0,Conflict,bet,win,3596.0,
21.0,0.0,5.0,4487.0,-3148.0,7948.5714460605495,7948.5714460605495,1.0,Conflict,bet,lose,-1350.0,-3148
22.0,0.0,0.0,500.0,-49.0,762.9568290259941,76.29568290259941,1.0,Conflict,bet,win,1000.0,
22.0,0.0,1.0,1000.0,-254.0,1599.5580286146694,479.8674085844008,1.0,Conflict,bet,lose,246.0,
22.0,0.0,2.0,1123.0,-449.0,1810.5293927192952,905.2646963596476,1.0,Conflict,bet,lose,-326.0,-449
23.0,0.0,0.0,500.0,-49.0,762.9568290259941,76.29568290259941,1.0,Conflict,bet,lose,451.0,
23.0,0.0,1.0,726.0,-187.0,1136.2667829241261,340.88003487723785,1.0,Conflict,bet,win,951.5,
23.0,0.0,2.0,1202.0,-479.0,1946.874565741414,973.437282870707,1.0,Conflict,bet,lose,-3.25,-479
24.0,0.0,0.0,500.0,-49.0,762.9568290259941,76.29568290259941,1.0,Conflict,bet,win,1000.0,
24.0,0.0,1.0,1000.0,-254.0,1599.5580286146694,479.8674085844008,1.0,Conflict,bet,lose,246.0,
24.0,0.0,2.0,1123.0,-449.0,1810.5293927192952,905.2646963596476,1.0,Conflict,bet,win,1246.0,
24.0,0.0,3.0,1746.0,-926.0,2900.702890018468,2030.4920230129276,1.0,Conflict,bet,win,2369.0,
24.0,0.0,4.0,2930.0,-1904.0,5042.136730809945,4537.923057728951,1.0,Conflict,bet,win,4114.5,
24.0,0.0,5.0,4987.0,-3483.0,8898.000898317854,8898.000898317854,1.0,Conflict,bet,lose,-1425.75,-3483
25.0,0.0,0.0,500.0,-49.0,762.9568290259941,76.29568290259941,1.0,Conflict,bet,win,1000.0,
25.0,0.0,1.0,1000.0,-254.0,1599.5580286146694,479.8674085844008,1.0,Conflict,bet,win,1500.0,
25.0,0.0,2.0,1750.0,-686.0,2907.800694878878,1453.900347439439,1.0,Conflict,bet,win,2500.0,
25.0,0.0,3.0,3000.0,-1555.0,5170.892391855962,3619.6246742991734,1.0,Conflict,bet,lose,-305.0,-1555
26.0,0.0,0.0,500.0,-49.0,762.9568290259941,76.29568290259941,1.0,Conflict,bet,lose,451.0,
26.0,0.0,1.0,726.0,-187.0,1136.2667829241261,340.88003487723785,1.0,Conflict,bet,win,951.5,
26.0,0.0,2.0,1202.0,-479.0,1946.874565741414,973.437282870707,1.0,Conflict,bet,win,1677.75,
26.0,0.0,3.0,2041.0,-1075.0,3426.9859904742457,2398.8901933319717,1.0,Conflict,bet,lose,-236.125,-1075
27.0,0.0,0.0,500.0,-49.0,762.9568290259941,76.29568290259941,1.0,Conflict,bet,lose,451.0,
27.0,0.0,1.0,726.0,-187.0,1136.2667829241261,340.88003487723785,1.0,Conflict,bet,win,951.5,
27.0,0.0,2.0,1202.0,-479.0,1946.874565741414,973.437282870707,1.0,Conflict,bet,lose,-3.25,-479
28.0,0.0,0.0,500.0,-49.0,762.9568290259941,76.29568290259941,1.0,Conflict,bet,lose,451.0,
28.0,0.0,1.0,726.0,-187.0,1136.2667829241261,340.88003487723785,1.0,Conflict,bet,win,951.5,
28.0,0.0,2.0,1202.0,-479.0,1946.874565741414,973.437282870707,1.0,Conflict,bet,lose,-3.25,-479
29.0,0.0,0.0,500.0,-49.0,762.9568290259941,76.29568290259941,1.0,Conflict,bet,win,1000.0,
29.0,0.0,1.0,1000.0,-254.0,1599.5580286146694,479.8674085844008,1.0,Conflict,bet,win,1500.0,
29.0,0.0,2.0,1750.0,-686.0,2907.800694878878,1453.900347439439,1.0,Conflict,bet,win,2500.0,
29.0,0.0,3.0,3000.0,-1555.0,5170.892391855962,3619.6246742991734,1.0,Conflict,bet,lose,-305.0,-1555
