Simulation,Trial
1.0,4.0
3.0,3.0
4.0,8.0
6.0,4.0
8.0,3.0
9.0,5.0
10.0,7.0
11.0,3.0
12.0,4.0
13.0,5.0
14.0,5.0
16.0,3.0
18.0,3.0
19.0,3.0
20.0,3.0
22.0,6.0
23.0,4.0
26.0,7.0
29.0,4.0
30.0,3.0
31.0,3.0
33.0,4.0
34.0,3.0
37.0,4.0
38.0,4.0
39.0,5.0
41.0,7.0
42.0,3.0
43.0,3.0
44.0,4.0
46.0,3.0
47.0,4.0
48.0,4.0
49.0,5.0
50.0,8.0
52.0,4.0
53.0,3.0
54.0,3.0
57.0,6.0
58.0,7.0
61.0,3.0
62.0,4.0
64.0,4.0
65.0,3.0
66.0,3.0
69.0,4.0
70.0,8.0
71.0,3.0
72.0,7.0
73.0,3.0
74.0,3.0
75.0,3.0
76.0,5.0
77.0,5.0
78.0,5.0
80.0,5.0
81.0,4.0
82.0,7.0
84.0,3.0
90.0,4.0
91.0,7.0
92.0,3.0
95.0,3.0
97.0,4.0
98.0,5.0
99.0,3.0
100.0,6.0
