Simulation,Run,Trial,Gain_outcome,Loss_outcome,Gain_utility,Loss_utility,Probability,Conflict_or_not,Bet_or_quit,Win_or_lose,Chip,Incentive
0.0,0.0,0.0,200.0,-1.0,11.260837930574644,1.1260837930574643,1.0,Conflict,bet,lose,199.0,
0.0,0.0,1.0,300.0,-8.0,13.55328008762004,4.065984026286012,1.0,Conflict,bet,lose,91.5,
0.0,0.0,2.0,346.0,-20.0,14.46631032469539,7.233155162347695,1.0,Conflict,bet,win,391.75,
0.0,0.0,3.0,542.0,-44.0,17.759783774983827,12.431848642488678,1.0,Conflict,bet,lose,151.875,
0.0,0.0,4.0,618.0,-70.0,18.85739651621721,16.97165686459549,1.0,Conflict,bet,win,693.9375,
0.0,0.0,5.0,965.0,-112.0,23.116867417738526,23.116867417738526,1.0,Not-conflict,bet,win,1311.96875,
0.0,0.0,6.0,1621.0,-184.0,29.30021706722241,32.230238773944656,1.0,Conflict,bet,lose,471.984375,
0.0,0.0,7.0,1857.0,-259.0,31.177912940161463,40.5312868222099,1.0,Conflict,bet,lose,-23.0078125,-259
1.0,0.0,0.0,200.0,-1.0,11.260837930574644,1.1260837930574643,1.0,Conflict,bet,win,400.0,
1.0,0.0,1.0,400.0,-10.0,15.45757691018458,4.637273073055374,1.0,Conflict,bet,lose,190.0,
1.0,0.0,2.0,495.0,-25.0,17.03862622400032,8.51931311200016,1.0,Conflict,bet,lose,70.0,
1.0,0.0,3.0,530.0,-43.0,17.578996205992425,12.305297344194697,1.0,Conflict,bet,win,565.0,
1.0,0.0,4.0,812.0,-85.0,21.36323930509014,19.226915374581125,1.0,Conflict,bet,win,1094.5,
1.0,0.0,5.0,1359.0,-141.0,27.03219376215306,27.03219376215306,1.0,Not-conflict,bet,lose,406.25,
1.0,0.0,6.0,1562.0,-179.0,28.807941768894477,31.688735945783925,1.0,Conflict,bet,lose,24.125,
1.0,0.0,7.0,1574.0,-232.0,28.908872966034966,37.581534855845455,1.0,Conflict,bet,lose,-219.9375,-232
2.0,0.0,0.0,200.0,-1.0,11.260837930574644,1.1260837930574643,1.0,Conflict,bet,win,400.0,
2.0,0.0,1.0,400.0,-10.0,15.45757691018458,4.637273073055374,1.0,Conflict,bet,win,600.0,
2.0,0.0,2.0,700.0,-32.0,19.962264435379975,9.981132217689987,1.0,Conflict,bet,win,1000.0,
2.0,0.0,3.0,1200.0,-76.0,25.537938069076294,17.876556648353404,1.0,Conflict,bet,lose,424.0,
2.0,0.0,4.0,1412.0,-124.0,27.50897802561452,24.75808022305307,1.0,Conflict,bet,win,1624.0,
2.0,0.0,5.0,2224.0,-198.0,33.856385868120306,33.856385868120306,1.0,Not-conflict,bet,lose,614.0,
2.0,0.0,6.0,2531.0,-250.0,35.91736849429062,39.50910534371969,1.0,Conflict,bet,win,2838.0,
2.0,0.0,7.0,3950.0,-436.0,44.01947642746305,57.22531935570196,1.0,Conflict,bet,win,5369.0,
2.0,0.0,8.0,6634.0,-771.0,55.789361177878035,83.68404176681705,1.0,Conflict,bet,win,5369.0,6634
3.0,0.0,0.0,200.0,-1.0,11.260837930574644,1.1260837930574643,1.0,Conflict,bet,win,400.0,
3.0,0.0,1.0,400.0,-10.0,15.45757691018458,4.637273073055374,1.0,Conflict,bet,lose,190.0,
3.0,0.0,2.0,495.0,-25.0,17.03862622400032,8.51931311200016,1.0,Conflict,bet,win,590.0,
3.0,0.0,3.0,790.0,-57.0,21.09675117916709,14.767725825416962,1.0,Conflict,bet,win,1085.0,
3.0,0.0,4.0,1332.0,-119.0,26.78541816050388,24.106876344453493,1.0,Conflict,bet,lose,423.5,
3.0,0.0,5.0,1544.0,-154.0,28.655752285965423,28.655752285965423,1.0,Not-conflict,bet,lose,57.75,
3.0,0.0,6.0,1573.0,-180.0,28.900478026693637,31.790525829363002,1.0,Conflict,bet,win,1601.875,
3.0,0.0,7.0,2374.0,-307.0,34.88146257737662,45.34590135058961,1.0,Conflict,bet,win,3174.9375,
3.0,0.0,8.0,3961.0,-541.0,44.075455880188244,66.11318382028236,1.0,Conflict,bet,win,3174.9375,3961
4.0,0.0,0.0,200.0,-1.0,11.260837930574644,1.1260837930574643,1.0,Conflict,bet,lose,199.0,
4.0,0.0,1.0,300.0,-8.0,13.55328008762004,4.065984026286012,1.0,Conflict,bet,win,399.5,
4.0,0.0,2.0,500.0,-25.0,17.11706468980834,8.55853234490417,1.0,Conflict,bet,lose,174.75,
4.0,0.0,3.0,587.0,-46.0,18.41906634765019,12.893346443355133,1.0,Conflict,bet,win,674.375,
4.0,0.0,4.0,924.0,-93.0,22.662723015038246,20.39645071353442,1.0,Conflict,bet,win,1261.1875,
4.0,0.0,5.0,1555.0,-155.0,28.748870710821475,28.748870710821475,1.0,Not-conflict,bet,win,2185.59375,
4.0,0.0,6.0,2648.0,-258.0,36.66684284934881,40.33352713428369,1.0,Conflict,bet,win,3740.796875,
4.0,0.0,7.0,4518.0,-478.0,46.80695891065562,60.84904658385231,1.0,Conflict,bet,win,6388.3984375,
4.0,0.0,8.0,7712.0,-855.0,59.76340434688613,89.6451065203292,1.0,Conflict,bet,lose,6388.3984375,-855
5.0,0.0,0.0,200.0,-1.0,11.260837930574644,1.1260837930574643,1.0,Conflict,bet,win,400.0,
5.0,0.0,1.0,400.0,-10.0,15.45757691018458,4.637273073055374,1.0,Conflict,bet,win,600.0,
5.0,0.0,2.0,700.0,-32.0,19.962264435379975,9.981132217689987,1.0,Conflict,bet,win,1000.0,
5.0,0.0,3.0,1200.0,-76.0,25.537938069076294,17.876556648353404,1.0,Conflict,bet,win,1700.0,
5.0,0.0,4.0,2050.0,-160.0,32.619065475558436,29.357158928002594,1.0,Conflict,bet,lose,690.0,
5.0,0.0,5.0,2395.0,-208.0,35.02213530949069,35.02213530949069,1.0,Not-conflict,bet,win,2740.0,
5.0,0.0,6.0,3765.0,-328.0,43.0650143340067,47.371515767407374,1.0,Conflict,bet,win,5135.0,
5.0,0.0,7.0,6332.0,-602.0,54.61402617418273,70.99823402643756,1.0,Conflict,bet,lose,1965.5,
5.0,0.0,8.0,7315.0,-824.0,58.33724949771712,87.50587424657567,1.0,Conflict,bet,lose,1965.5,-824
6.0,0.0,0.0,200.0,-1.0,11.260837930574644,1.1260837930574643,1.0,Conflict,bet,win,400.0,
6.0,0.0,1.0,400.0,-10.0,15.45757691018458,4.637273073055374,1.0,Conflict,bet,win,600.0,
6.0,0.0,2.0,700.0,-32.0,19.962264435379975,9.981132217689987,1.0,Conflict,bet,lose,268.0,
