Simulation,Run,Trial,Gain_outcome,Loss_outcome,Gain_utility,Loss_utility,Probability,Conflict_or_not,Bet_or_quit,Win_or_lose,Chip,Incentive
0.0,0.0,0.0,200.0,-4.0,0.0323412210554736,0.00323412210554736,1.0,Conflict,bet,win,400.0,
0.0,0.0,1.0,400.0,-47.0,0.05658321491555938,0.016974964474667814,1.0,Conflict,bet,lose,153.0,
0.0,0.0,2.0,476.0,-121.0,0.06511094778486332,0.03255547389243166,1.0,Conflict,bet,win,552.5,
0.0,0.0,3.0,752.0,-335.0,0.09417443074197615,0.0659221015193833,1.0,Conflict,bet,lose,-58.75,-335
1.0,0.0,0.0,200.0,-4.0,0.0323412210554736,0.00323412210554736,1.0,Conflict,bet,win,400.0,
1.0,0.0,1.0,400.0,-47.0,0.05658321491555938,0.016974964474667814,1.0,Conflict,bet,lose,153.0,
1.0,0.0,2.0,476.0,-121.0,0.06511094778486332,0.03255547389243166,1.0,Conflict,bet,lose,-44.5,-121
2.0,0.0,0.0,200.0,-4.0,0.0323412210554736,0.00323412210554736,1.0,Conflict,bet,win,400.0,
2.0,0.0,1.0,400.0,-47.0,0.05658321491555938,0.016974964474667814,1.0,Conflict,bet,lose,153.0,
2.0,0.0,2.0,476.0,-121.0,0.06511094778486332,0.03255547389243166,1.0,Conflict,bet,lose,-44.5,-121
3.0,0.0,0.0,200.0,-4.0,0.0323412210554736,0.00323412210554736,1.0,Conflict,bet,lose,196.0,
3.0,0.0,1.0,298.0,-33.0,0.04461878412400997,0.013385635237202992,1.0,Conflict,bet,lose,65.0,
3.0,0.0,2.0,330.0,-79.0,0.048446895872194556,0.024223447936097278,1.0,Conflict,bet,lose,-46.5,-79
4.0,0.0,0.0,200.0,-4.0,0.0323412210554736,0.00323412210554736,1.0,Conflict,bet,win,400.0,
4.0,0.0,1.0,400.0,-47.0,0.05658321491555938,0.016974964474667814,1.0,Conflict,bet,win,600.0,
4.0,0.0,2.0,700.0,-189.0,0.08888312689765977,0.044441563448829886,1.0,Conflict,bet,win,1000.0,
4.0,0.0,3.0,1200.0,-577.0,0.13731705222866686,0.09612193656006679,1.0,Conflict,bet,win,1700.0,
4.0,0.0,4.0,2050.0,-1553.0,0.21154880294646447,0.19039392265181804,1.0,Conflict,bet,win,2900.0,
4.0,0.0,5.0,3500.0,-3377.0,0.3257527705672228,0.3257527705672228,1.0,Conflict,bet,lose,-1927.0,-3377
5.0,0.0,0.0,200.0,-4.0,0.0323412210554736,0.00323412210554736,1.0,Conflict,bet,lose,196.0,
5.0,0.0,1.0,298.0,-33.0,0.04461878412400997,0.013385635237202992,1.0,Conflict,bet,win,396.0,
5.0,0.0,2.0,496.0,-126.0,0.06730989595858834,0.03365494797929417,1.0,Conflict,bet,lose,72.0,
5.0,0.0,3.0,532.0,-223.0,0.07122556346064145,0.04985789442244901,1.0,Conflict,bet,lose,-187.0,-223
6.0,0.0,0.0,200.0,-4.0,0.0323412210554736,0.00323412210554736,1.0,Conflict,bet,lose,196.0,
6.0,0.0,1.0,298.0,-33.0,0.04461878412400997,0.013385635237202992,1.0,Conflict,bet,lose,65.0,
6.0,0.0,2.0,330.0,-79.0,0.048446895872194556,0.024223447936097278,1.0,Conflict,bet,win,362.5,
6.0,0.0,3.0,511.0,-213.0,0.06894787296008546,0.04826351107205982,1.0,Conflict,bet,win,692.25,
6.0,0.0,4.0,857.0,-561.0,0.1046503607151161,0.09418532464360449,1.0,Conflict,bet,lose,-214.875,-561
7.0,0.0,0.0,200.0,-4.0,0.0323412210554736,0.00323412210554736,1.0,Conflict,bet,win,400.0,
7.0,0.0,1.0,400.0,-47.0,0.05658321491555938,0.016974964474667814,1.0,Conflict,bet,win,600.0,
7.0,0.0,2.0,700.0,-189.0,0.08888312689765977,0.044441563448829886,1.0,Conflict,bet,win,1000.0,
7.0,0.0,3.0,1200.0,-577.0,0.13731705222866686,0.09612193656006679,1.0,Conflict,bet,lose,-77.0,-577
8.0,0.0,0.0,200.0,-4.0,0.0323412210554736,0.00323412210554736,1.0,Conflict,bet,win,400.0,
8.0,0.0,1.0,400.0,-47.0,0.05658321491555938,0.016974964474667814,1.0,Conflict,bet,win,600.0,
8.0,0.0,2.0,700.0,-189.0,0.08888312689765977,0.044441563448829886,1.0,Conflict,bet,win,1000.0,
8.0,0.0,3.0,1200.0,-577.0,0.13731705222866686,0.09612193656006679,1.0,Conflict,bet,win,1700.0,
8.0,0.0,4.0,2050.0,-1553.0,0.21154880294646447,0.19039392265181804,1.0,Conflict,bet,win,2900.0,
8.0,0.0,5.0,3500.0,-3377.0,0.3257527705672228,0.3257527705672228,1.0,Conflict,bet,lose,-1927.0,-3377
9.0,0.0,0.0,200.0,-4.0,0.0323412210554736,0.00323412210554736,1.0,Conflict,bet,win,400.0,
9.0,0.0,1.0,400.0,-47.0,0.05658321491555938,0.016974964474667814,1.0,Conflict,bet,win,600.0,
9.0,0.0,2.0,700.0,-189.0,0.08888312689765977,0.044441563448829886,1.0,Conflict,bet,lose,111.0,
9.0,0.0,3.0,756.0,-337.0,0.0945784724328278,0.06620493070297945,1.0,Conflict,bet,win,811.5,
9.0,0.0,4.0,1162.0,-800.0,0.13379705419081445,0.120417348771733,1.0,Conflict,bet,win,1567.75,
9.0,0.0,5.0,1946.0,-1702.0,0.20284461132741255,0.20284461132741255,1.0,Conflict,bet,win,2729.875,
9.0,0.0,6.0,3311.0,-3633.0,0.3114815055550306,0.3426296561105337,1.0,Conflict,bet,lose,-2268.0625,-3633
10.0,0.0,0.0,200.0,-4.0,0.0323412210554736,0.00323412210554736,1.0,Conflict,bet,win,400.0,
10.0,0.0,1.0,400.0,-47.0,0.05658321491555938,0.016974964474667814,1.0,Conflict,bet,lose,153.0,
10.0,0.0,2.0,476.0,-121.0,0.06511094778486332,0.03255547389243166,1.0,Conflict,bet,lose,-44.5,-121
11.0,0.0,0.0,200.0,-4.0,0.0323412210554736,0.00323412210554736,1.0,Conflict,bet,win,400.0,
11.0,0.0,1.0,400.0,-47.0,0.05658321491555938,0.016974964474667814,1.0,Conflict,bet,win,600.0,
11.0,0.0,2.0,700.0,-189.0,0.08888312689765977,0.044441563448829886,1.0,Conflict,bet,lose,111.0,
11.0,0.0,3.0,756.0,-337.0,0.0945784724328278,0.06620493070297945,1.0,Conflict,bet,lose,-281.5,-337
12.0,0.0,0.0,200.0,-4.0,0.0323412210554736,0.00323412210554736,1.0,Conflict,bet,lose,196.0,
12.0,0.0,1.0,298.0,-33.0,0.04461878412400997,0.013385635237202992,1.0,Conflict,bet,win,396.0,
12.0,0.0,2.0,496.0,-126.0,0.06730989595858834,0.03365494797929417,1.0,Conflict,bet,win,694.0,
12.0,0.0,3.0,843.0,-382.0,0.10326854523269052,0.07228798166288336,1.0,Conflict,bet,win,1190.0,
12.0,0.0,4.0,1438.0,-1026.0,0.15890465779263654,0.1430141920133729,1.0,Conflict,bet,lose,-431.0,-1026
13.0,0.0,0.0,200.0,-4.0,0.0323412210554736,0.00323412210554736,1.0,Conflict,bet,win,400.0,
13.0,0.0,1.0,400.0,-47.0,0.05658321491555938,0.016974964474667814,1.0,Conflict,bet,win,600.0,
13.0,0.0,2.0,700.0,-189.0,0.08888312689765977,0.044441563448829886,1.0,Conflict,bet,lose,111.0,
13.0,0.0,3.0,756.0,-337.0,0.0945784724328278,0.06620493070297945,1.0,Conflict,bet,win,811.5,
13.0,0.0,4.0,1162.0,-800.0,0.13379705419081445,0.120417348771733,1.0,Conflict,bet,lose,-394.25,-800
14.0,0.0,0.0,200.0,-4.0,0.0323412210554736,0.00323412210554736,1.0,Conflict,bet,lose,196.0,
14.0,0.0,1.0,298.0,-33.0,0.04461878412400997,0.013385635237202992,1.0,Conflict,bet,win,396.0,
14.0,0.0,2.0,496.0,-126.0,0.06730989595858834,0.03365494797929417,1.0,Conflict,bet,lose,72.0,
14.0,0.0,3.0,532.0,-223.0,0.07122556346064145,0.04985789442244901,1.0,Conflict,bet,win,568.0,
14.0,0.0,4.0,816.0,-529.0,0.10059100899911613,0.09053190809920453,1.0,Conflict,bet,lose,-245.0,-529
15.0,0.0,0.0,200.0,-4.0,0.0323412210554736,0.00323412210554736,1.0,Conflict,bet,lose,196.0,
15.0,0.0,1.0,298.0,-33.0,0.04461878412400997,0.013385635237202992,1.0,Conflict,bet,win,396.0,
15.0,0.0,2.0,496.0,-126.0,0.06730989595858834,0.03365494797929417,1.0,Conflict,bet,win,694.0,
15.0,0.0,3.0,843.0,-382.0,0.10326854523269052,0.07228798166288336,1.0,Conflict,bet,lose,-35.0,-382
16.0,0.0,0.0,200.0,-4.0,0.0323412210554736,0.00323412210554736,1.0,Conflict,bet,win,400.0,
16.0,0.0,1.0,400.0,-47.0,0.05658321491555938,0.016974964474667814,1.0,Conflict,bet,win,600.0,
16.0,0.0,2.0,700.0,-189.0,0.08888312689765977,0.044441563448829886,1.0,Conflict,bet,lose,111.0,
16.0,0.0,3.0,756.0,-337.0,0.0945784724328278,0.06620493070297945,1.0,Conflict,bet,win,811.5,
16.0,0.0,4.0,1162.0,-800.0,0.13379705419081445,0.120417348771733,1.0,Conflict,bet,lose,-394.25,-800
17.0,0.0,0.0,200.0,-4.0,0.0323412210554736,0.00323412210554736,1.0,Conflict,bet,lose,196.0,
17.0,0.0,1.0,298.0,-33.0,0.04461878412400997,0.013385635237202992,1.0,Conflict,bet,lose,65.0,
17.0,0.0,2.0,330.0,-79.0,0.048446895872194556,0.024223447936097278,1.0,Conflict,bet,win,362.5,
17.0,0.0,3.0,511.0,-213.0,0.06894787296008546,0.04826351107205982,1.0,Conflict,bet,win,692.25,
17.0,0.0,4.0,857.0,-561.0,0.1046503607151161,0.09418532464360449,1.0,Conflict,bet,lose,-214.875,-561
18.0,0.0,0.0,200.0,-4.0,0.0323412210554736,0.00323412210554736,1.0,Conflict,bet,lose,196.0,
18.0,0.0,1.0,298.0,-33.0,0.04461878412400997,0.013385635237202992,1.0,Conflict,bet,win,396.0,
18.0,0.0,2.0,496.0,-126.0,0.06730989595858834,0.03365494797929417,1.0,Conflict,bet,win,694.0,
18.0,0.0,3.0,843.0,-382.0,0.10326854523269052,0.07228798166288336,1.0,Conflict,bet,win,1190.0,
18.0,0.0,4.0,1438.0,-1026.0,0.15890465779263654,0.1430141920133729,1.0,Conflict,bet,lose,-431.0,-1026
19.0,0.0,0.0,200.0,-4.0,0.0323412210554736,0.00323412210554736,1.0,Conflict,bet,lose,196.0,
19.0,0.0,1.0,298.0,-33.0,0.04461878412400997,0.013385635237202992,1.0,Conflict,bet,win,396.0,
19.0,0.0,2.0,496.0,-126.0,0.06730989595858834,0.03365494797929417,1.0,Conflict,bet,lose,72.0,
19.0,0.0,3.0,532.0,-223.0,0.07122556346064145,0.04985789442244901,1.0,Conflict,bet,lose,-187.0,-223
20.0,0.0,0.0,200.0,-4.0,0.0323412210554736,0.00323412210554736,1.0,Conflict,bet,lose,196.0,
20.0,0.0,1.0,298.0,-33.0,0.04461878412400997,0.013385635237202992,1.0,Conflict,bet,win,396.0,
20.0,0.0,2.0,496.0,-126.0,0.06730989595858834,0.03365494797929417,1.0,Conflict,bet,win,694.0,
20.0,0.0,3.0,843.0,-382.0,0.10326854523269052,0.07228798166288336,1.0,Conflict,bet,win,1190.0,
20.0,0.0,4.0,1438.0,-1026.0,0.15890465779263654,0.1430141920133729,1.0,Conflict,bet,win,2033.0,
20.0,0.0,5.0,2454.0,-2231.0,0.2445986045095658,0.2445986045095658,1.0,Conflict,bet,lose,-1214.5,-2231
21.0,0.0,0.0,200.0,-4.0,0.0323412210554736,0.00323412210554736,1.0,Conflict,bet,lose,196.0,
21.0,0.0,1.0,298.0,-33.0,0.04461878412400997,0.013385635237202992,1.0,Conflict,bet,lose,65.0,
21.0,0.0,2.0,330.0,-79.0,0.048446895872194556,0.024223447936097278,1.0,Conflict,bet,win,362.5,
21.0,0.0,3.0,511.0,-213.0,0.06894787296008546,0.04826351107205982,1.0,Conflict,bet,lose,-31.75,-213
22.0,0.0,0.0,200.0,-4.0,0.0323412210554736,0.00323412210554736,1.0,Conflict,bet,lose,196.0,
22.0,0.0,1.0,298.0,-33.0,0.04461878412400997,0.013385635237202992,1.0,Conflict,bet,lose,65.0,
22.0,0.0,2.0,330.0,-79.0,0.048446895872194556,0.024223447936097278,1.0,Conflict,bet,lose,-46.5,-79
23.0,0.0,0.0,200.0,-4.0,0.0323412210554736,0.00323412210554736,1.0,Conflict,bet,lose,196.0,
23.0,0.0,1.0,298.0,-33.0,0.04461878412400997,0.013385635237202992,1.0,Conflict,bet,win,396.0,
23.0,0.0,2.0,496.0,-126.0,0.06730989595858834,0.03365494797929417,1.0,Conflict,bet,lose,72.0,
23.0,0.0,3.0,532.0,-223.0,0.07122556346064145,0.04985789442244901,1.0,Conflict,bet,lose,-187.0,-223
24.0,0.0,0.0,200.0,-4.0,0.0323412210554736,0.00323412210554736,1.0,Conflict,bet,lose,196.0,
24.0,0.0,1.0,298.0,-33.0,0.04461878412400997,0.013385635237202992,1.0,Conflict,bet,lose,65.0,
24.0,0.0,2.0,330.0,-79.0,0.048446895872194556,0.024223447936097278,1.0,Conflict,bet,lose,-46.5,-79
25.0,0.0,0.0,200.0,-4.0,0.0323412210554736,0.00323412210554736,1.0,Conflict,bet,lose,196.0,
25.0,0.0,1.0,298.0,-33.0,0.04461878412400997,0.013385635237202992,1.0,Conflict,bet,lose,65.0,
25.0,0.0,2.0,330.0,-79.0,0.048446895872194556,0.024223447936097278,1.0,Conflict,bet,lose,-46.5,-79
26.0,0.0,0.0,200.0,-4.0,0.0323412210554736,0.00323412210554736,1.0,Conflict,bet,win,400.0,
26.0,0.0,1.0,400.0,-47.0,0.05658321491555938,0.016974964474667814,1.0,Conflict,bet,win,600.0,
