Simulation,Run,Trial,Gain_outcome,Loss_outcome,Gain_utility,Loss_utility,Probability,Conflict_or_not,Bet_or_quit,Win_or_lose,Chip,Incentive
0.0,0.0,0.0,200.0,-1.0,67.86094084580229,6.786094084580229,1.0,Conflict,bet,lose,399.0,
0.0,0.0,1.0,400.0,-1.0,117.82562526219141,35.34768757865742,1.0,Conflict,bet,lose,198.5,
0.0,0.0,2.0,499.0,-1.0,140.50378841501353,70.25189420750677,1.0,Conflict,bet,lose,98.25,
0.0,0.0,3.0,548.0,-1.0,151.38028709692298,105.96620096784608,1.0,Conflict,bet,lose,48.125,
0.0,0.0,4.0,572.0,-1.0,156.63443285583583,140.97098957025224,1.0,Conflict,bet,lose,23.0625,
0.0,0.0,5.0,584.0,-1.0,159.24456773738368,159.24456773738368,1.0,Not-conflict,bet,win,595.53125,
0.0,0.0,6.0,882.0,-1.0,221.10216429614385,243.21238072575827,1.0,Conflict,bet,win,1179.765625,
0.0,0.0,7.0,1472.0,-1.0,332.39510287084147,432.11363373209394,1.0,Conflict,bet,win,2061.8828125,
0.0,0.0,8.0,2503.0,-1.0,507.1948513662386,760.7922770493578,1.0,Conflict,bet,win,2061.8828125,2503
1.0,0.0,0.0,200.0,-1.0,67.86094084580229,6.786094084580229,1.0,Conflict,bet,lose,399.0,
1.0,0.0,1.0,400.0,-1.0,117.82562526219141,35.34768757865742,1.0,Conflict,bet,win,599.5,
1.0,0.0,2.0,700.0,-1.0,183.9492577896933,91.97462889484665,1.0,Conflict,bet,lose,298.75,
1.0,0.0,3.0,849.0,-1.0,214.49171486923277,150.14420040846292,1.0,Conflict,bet,lose,148.375,
1.0,0.0,4.0,923.0,-1.0,229.24535991868328,206.32082392681497,1.0,Conflict,bet,lose,73.1875,
1.0,0.0,5.0,960.0,-1.0,236.53090937684723,236.53090937684723,1.0,Not-conflict,bet,lose,35.59375,
1.0,0.0,6.0,978.0,-1.0,240.05443193301414,264.0598751263156,1.0,Conflict,bet,lose,16.796875,
