Simulation,Trial
2.0,4.0
3.0,4.0
4.0,4.0
6.0,3.0
7.0,4.0
10.0,4.0
11.0,3.0
12.0,3.0
14.0,4.0
15.0,4.0
16.0,4.0
17.0,4.0
18.0,3.0
19.0,4.0
21.0,3.0
22.0,4.0
23.0,3.0
25.0,4.0
26.0,3.0
28.0,4.0
31.0,4.0
32.0,3.0
33.0,4.0
36.0,4.0
37.0,4.0
38.0,4.0
39.0,3.0
42.0,4.0
43.0,4.0
46.0,3.0
48.0,4.0
49.0,4.0
50.0,3.0
51.0,4.0
54.0,3.0
55.0,4.0
57.0,4.0
58.0,4.0
59.0,4.0
60.0,4.0
61.0,4.0
62.0,3.0
63.0,4.0
66.0,4.0
67.0,3.0
68.0,4.0
69.0,4.0
70.0,4.0
71.0,4.0
72.0,3.0
73.0,4.0
76.0,4.0
78.0,4.0
79.0,3.0
80.0,4.0
83.0,4.0
84.0,3.0
86.0,4.0
88.0,3.0
89.0,4.0
90.0,3.0
91.0,4.0
92.0,4.0
93.0,3.0
94.0,3.0
95.0,4.0
96.0,4.0
97.0,4.0
99.0,3.0
