Simulation,Run,Trial,Gain_outcome,Loss_outcome,Gain_utility,Loss_utility,Probability,Conflict_or_not,Bet_or_quit,Win_or_lose,Chip,Incentive
0.0,0.0,0.0,300.0,0.0,0.23944453203779714,0.023944453203779716,1.0,Not_conflict,bet,win,600.0,
0.0,0.0,1.0,600.0,-2.0,0.29234896636924124,0.08770468991077236,1.0,Conflict,bet,win,900.0,
0.0,0.0,2.0,1050.0,-24.0,0.3434760981384972,0.1717380490692486,1.0,Conflict,bet,win,1500.0,
0.0,0.0,3.0,1800.0,-149.0,0.4011552534782253,0.2808086774347577,1.0,Conflict,bet,win,2550.0,
0.0,0.0,4.0,3075.0,-687.0,0.46805123678220867,0.4212461131039878,1.0,Conflict,bet,lose,588.0,
0.0,0.0,5.0,3369.0,-1126.0,0.48052312606550923,0.48052312606550923,1.0,Conflict,bet,win,3663.0,
0.0,0.0,6.0,5200.0,-2578.0,0.5445063709392053,0.5989570080331259,1.0,Conflict,bet,win,7031.5,
0.0,0.0,7.0,8716.0,-8452.0,0.6318374481600402,0.8213886826080522,1.0,Conflict,bet,lose,-4936.25,-8452
1.0,0.0,0.0,300.0,0.0,0.23944453203779714,0.023944453203779716,1.0,Not_conflict,bet,lose,300.0,
1.0,0.0,1.0,450.0,-1.0,0.2691034133998668,0.08073102401996005,1.0,Conflict,bet,win,600.0,
1.0,0.0,2.0,750.0,-16.0,0.3117537214568689,0.15587686072843446,1.0,Conflict,bet,lose,284.0,
1.0,0.0,3.0,892.0,-70.0,0.32771708305234587,0.2294019581366421,1.0,Conflict,bet,lose,72.0,
1.0,0.0,4.0,928.0,-188.0,0.33147274112534214,0.29832546701280793,1.0,Conflict,bet,lose,-152.0,-188
2.0,0.0,0.0,300.0,0.0,0.23944453203779714,0.023944453203779716,1.0,Not_conflict,bet,win,600.0,
2.0,0.0,1.0,600.0,-2.0,0.29234896636924124,0.08770468991077236,1.0,Conflict,bet,lose,298.0,
